Slide #,Slide Title,Themes,Hook,Key Quotes / Bullets,Takeaways,Source,Email Date,Message ID
1,119th HCAI Note,"chatbot UX, governance, risks, verification",Hook: â€œThe ethics board never had a second meeting.â€ ğŸª‘ğŸ’¨,"Itâ€™s a wide-ranging and compelling description of the conflicting motivations of key figures â€” â€œThe people who were most afraid of the risks of artificial intelligence decided they should be the ones to build it. â€¢ I was unsettled by their assumption that AI has a mind and agenda of its own, which appears in sentences such as: â€œThey believed that A.I. â€¢ bots might do things their creators had not intended.â€ There is little attention to the human roles or responsibility in finding a cure for cancer or controlling AI bots. â€¢ could find a cure for cancer or solve climate change, but they worried that A.I. â€¢ An alternative framing â€¦ would clarify that AI is a result of human design decisions. â€¢ These decisions produce diverse outcomes, for which the developers are responsible.",Design for human control with explicit oversight and audit. â€¢ Align with NIST AI RMF; manage risks across the lifecycle. â€¢ Reject mystifying metaphors; assign responsibility and liability.,https://mail.google.com/mail/#all/18e118214ce223bc,2024-03-05T21:05:19-05:00,18e118214ce223bc
2,118th HCAI Note,"economics, governance, risks, verification",Hook: Martian robots still need humans with joysticks.,"Aneesh Raman & Maria Flynn in the NYT argue: â€œA.I. â€¢ could usher in a world of work anchored more, not less, around human ability.â€ I wish they made stronger cases about human abilities and institutional responsibilities. â€¢ Finally: Mars Rovers again illustrate how human operators seize unpredicted opportunities and handle failures â€” human control leads to safer, more reliable systems. â€¢ Areas include human insight about AI-produced output and oversight in realâ€‘world environments.","Design for human control with explicit oversight and audit. â€¢ Align with NIST AI RMF; manage risks across the lifecycle. â€¢ Center human capabilities; use AI to augment, not replace. â€¢ Reject mystifying metaphors; assign responsibility and liability.",https://mail.google.com/mail/#all/18dca0c0cad095f8,2024-02-21T00:03:21-05:00,18dca0c0cad095f8
3,116th HCAI Note,"chatbot UX, economics, governance, risks","Community replies on supertools, social reasoning, human nudging, and STS guardrails; webinar link.","â€¢ Stuart Reeves (Nottingham): AI researchers often ignore language and commonâ€‘sense reasoning in action. â€¢ â€¢ Sean Koon (Kaiser): opportunity to nudge people toward better ethical reasoning and values â€” not because AI thinks better, but because it can prompt humans inâ€‘task. â€¢ â€¢ Bert Painter (STS Roundtable): AGI without HCAI guardrails will serve a few; history of socioâ€‘technical systems shows human guardrails improve reliability and outcomes. â€¢ Video: â€œLinking STS Organization Design and HCAIâ€ now online. â€¢ Points to Erik Vinkhuyzenâ€™s series on selfâ€‘driving cars; highlights incommensurability between machine reasoning and social reasoning.","Center human capabilities; use AI to augment, not replace. â€¢ Reject mystifying metaphors; assign responsibility and liability.",https://mail.google.com/mail/#all/18c464d68d6b4d26,2023-12-07T17:02:04-05:00,18c464d68d6b4d26
4,117th HCAI Note,governance,Happy New Year; Jason Farago essay; critique of inevitability framing; focus on human-centeredâ€¦,Happy New Year; Jason Farago essay; critique of inevitability framing; focus on human-centered design.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/18cea48745c8e03d,2024-01-08T13:14:24-05:00,18cea48745c8e03d
5,115th HCAI Note,governance,Hook: â€œIncredibly smart and shockingly stupid.â€,"Yejin Choi TED: 'incredibly smart and shockingly stupid'; call for human values, oversight, and practical controls.","Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/18c18ae58d286301,2023-11-01T00:00:00-05:00,18c18ae58d286301
6,HCAI Note (encoding),governance,Community notes; design for responsibility; audits; oversight.,Community notes; design for responsibility; audits; oversight.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/18bb147f69ca8165,2023-10-01T00:00:00-04:00,18bb147f69ca8165
7,HCAI Note (encoding),verification,"On verification, evaluation, and building user trust.","On verification, evaluation, and building user trust.","Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/18b966026dbd3a83,2023-09-01T00:00:00-04:00,18b966026dbd3a83
8,HCAI Note (encoding),governance,Governance and public reporting of incidents.,Governance and public reporting of incidents.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/1887480bc8c5b0d1,2023-06-01T00:00:00-04:00,1887480bc8c5b0d1
9,HCAI Note (encoding),economics,Economics of AI and the relationship economy.,Economics of AI and the relationship economy.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/1884f2cd8cdfe1dc,2023-05-01T00:00:00-04:00,1884f2cd8cdfe1dc
10,HCAI Note (encoding),chatbot UX,Chatbot UX and human-in-the-loop controls.,Chatbot UX and human-in-the-loop controls.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/187e468166c11818,2023-03-01T00:00:00-05:00,187e468166c11818
11,HCAI Note (encoding),"governance, verification",Verification and audit trails in critical systems.,Verification and audit trails in critical systems.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/187543cb904e9816,2023-02-01T00:00:00-05:00,187543cb904e9816
12,HCAI Note (encoding),"economics, risks, verification",Risk management workshops; NIST AI RMF alignment.,Risk management workshops; NIST AI RMF alignment.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/187303348aa1434f,2023-01-15T00:00:00-05:00,187303348aa1434f
13,HCAI Note (encoding),governance,Hook: â€œThe ethics board never had a second meeting.â€ ğŸª‘ğŸ’¨,Funny: 'ethics board never had a second meeting' as a cautionary tale.,"Humanâ€‘Centered AI: amplify, augment, empower, enhance.",https://mail.google.com/mail/#all/1870c412016892b4,2023-01-01T00:00:00-05:00,1870c412016892b4
